id,name,metropole,preis,angebot,preis_entwicklung,angebot_entwicklung,autobahn,zug,supermarkt,pendler,einwohner,gesundheit,schule
9173,Bad Tölz-Wolfratshausen,München,5689,391.0,6.7154380041268,-5.55555555555556,12550.0,4370.0,2150.0,16.863591469437026,7.560664324073452,65.1,40.7122336421317
12060,Barnim,Berlin,3317,535.0,-2.8696925329429,-25.694444444444397,6810.0,2960.0,2580.0,41.13460730518034,11.307038968087625,53.4,52.8360528360528
11000,Berlin,Berlin,5527,13095.0,0.85766423357664,-25.996044080248698,4470.0,1840.0,590.0,2.9729445401024583,8.507855187006964,63.1,34.5565889923383
5314,Bonn,Köln,3860,948.0,4.12732667925546,-21.3278008298755,2360.0,2400.0,720.0,13.774529852531504,3.81161071291416,62.4,29.4828002108466
15084,Burgenlandkreis,Leipzig,1207,353.0,-0.9844134536505299,-38.6086956521739,13390.0,3870.0,3450.0,1.5010337307768558,-5.838317721852315,64.0,42.331267567476
8115,Böblingen,Stuttgart,3982,1973.0,0.02511931675457,-19.3706579485084,4970.0,2460.0,1210.0,20.035191554027033,7.367214221912377,51.0,40.1178118100857
9174,Dachau,München,5457,577.0,-3.50132625994695,-7.68,7880.0,3030.0,1690.0,40.6261087911788,6.973616577830044,61.0,29.1484225000475
12061,Dahme-Spreewald,Berlin,3540,502.0,-0.1410437235543,-29.0960451977401,7020.0,4420.0,3360.0,35.17756357835186,10.821263270830991,57.6,52.1521066122213
6411,Darmstadt,Frankfurt,4304,414.0,4.51675570665371,-24.5901639344262,4260.0,1710.0,660.0,14.914700173664317,11.429440594896056,65.8,40.0504878877615
6432,Darmstadt-Dieburg,Frankfurt,3375,800.0,3.46413243408952,-31.2714776632302,10430.0,3060.0,1950.0,11.60508645018977,6.2760844265205895,50.5,47.0468182104318
5112,Duisburg,Düsseldorf,2337,1162.0,2.54497586660816,-22.0657276995305,1980.0,2830.0,880.0,12.704904658827624,3.362461381713011,53.6,24.6174859590992
5111,Düsseldorf,Düsseldorf,4818,2537.0,1.68847615027439,-20.0944881889764,3300.0,1930.0,670.0,7.146404928350619,3.8129840554370857,62.6,25.0310115221865
5111,Düsseldorf,Köln,4818,2537.0,1.68847615027439,-20.0944881889764,3300.0,1930.0,670.0,7.146404928350619,3.8129840554370857,62.6,25.0310115221865
9175,Ebersberg,München,5894,545.0,-0.08476012883539,-18.4131736526946,8790.0,2620.0,1570.0,37.12387651426338,9.159536222149288,56.2,31.1739710895302
8236,Enzkreis,Stuttgart,3103,665.0,2.27422544495715,-25.0281848928974,9010.0,3980.0,2590.0,6.480379812635008,4.053266143306322,50.9,43.754209499088
9177,Erding,München,4950,355.0,2.12502578914793,-20.7589285714286,8590.0,5460.0,2450.0,22.09574325431709,8.775499068509385,58.1,37.182545250456
5113,Essen,Düsseldorf,2765,1497.0,5.53435114503817,-16.925638179800202,2360.0,1940.0,750.0,8.341937193344725,1.2736786025522973,58.3,25.7412104846848
8116,Esslingen,Stuttgart,3963,2028.0,2.50905328504916,-27.1289974847287,7000.0,3010.0,1430.0,22.554107075053793,5.397412781152111,55.5,39.4410430128533
6412,Frankfurt am Main,Frankfurt,6166,2201.0,6.3653613938244,-22.2810734463277,2680.0,2180.0,620.0,3.7083625057850456,8.98855003453165,59.0,31.8385129996519
9178,Freising,München,5255,529.0,1.38915685896199,-20.6896551724138,5700.0,5110.0,1850.0,24.310125532267875,10.373092142453366,53.5,28.9892417702763
9179,Fürstenfeldbruck,München,5674,896.0,-0.5956552207428101,-23.156089193825,6740.0,2120.0,1360.0,40.34937028489822,5.710693295125591,60.8,27.8111711194444
6433,Groß-Gerau,Frankfurt,3605,772.0,0.75461151481275,-31.316725978647703,4019.9999999999995,2320.0,1930.0,23.86329991963795,5.114895854176238,55.0,31.5925484182427
15002,Halle (Saale),Leipzig,2344,339.0,0.1281503630927,-30.6748466257669,7500.0,1880.0,810.0,3.486464315012306,-1.6423263048738312,69.4,31.7955833044282
2000,Hamburg,Hamburg,5799,4837.0,2.40155394667139,-29.076246334310902,4590.0,2440.0,790.0,3.2443294260922517,6.7650287844121415,61.9,34.7091343133559
3353,Harburg,Hamburg,3331,895.0,0.60404711567503,-27.1765663140765,5950.0,5000.0,2190.0,45.054418137569776,10.06826080449641,59.3,37.5546249089584
12063,Havelland,Berlin,3589,475.0,-3.0,-39.3358876117497,17630.0,3680.0,3360.0,37.11806002373497,10.716009759025136,57.9,47.4917329205656
6434,Hochtaunuskreis,Frankfurt,4313,1103.0,0.81813931743806,-21.4387464387464,7050.0,2650.0,1710.0,33.135224948875255,5.490622451753202,57.1,40.1741154446694
5114,Krefeld,Düsseldorf,2881,793.0,3.7824207492795496,-20.5410821643287,3780.0,2760.0,880.0,14.10676124221343,3.768477565690498,66.2,25.8149201487639
1053,Herzogtum Lauenburg,Hamburg,3111,646.0,0.84278768233387,-31.1300639658849,8880.0,6750.0,3340.0,32.132997975584324,9.334504137729184,62.7,38.0792438829112
5158,Mettmann,Düsseldorf,3199,1701.0,0.34504391468004,-24.2653606411398,2790.0,3210.0,1010.0,27.464443354585583,2.589668556777691,61.4,27.9448690568708
5158,Mettmann,Köln,3199,1701.0,0.34504391468004,-24.2653606411398,2790.0,3210.0,1010.0,27.464443354585583,2.589668556777691,61.4,27.9448690568708
1056,Pinneberg,Hamburg,3558,1439.0,1.8317115054378799,-16.3372093023256,5370.0,2600.0,1950.0,41.80556475410439,8.344655418203239,61.3,44.4419754458085
