Kreiskennziffer,Stadt/Landkreis,Metropole_x,durchschn. Kaufpreis 1. HJ 2025,Angebote 1. HJ 2025,Preisentwicklung,Angebotsentwicklung,Durchschnittliche Entfernung zur Autobahn,Durchschnittliche Entfernung zum Zugverkehr,Durchschnittliche Entfernung zum Supermarkt,Anteil Pendler,Kindergärten und Grundschulen je 100.000 Einwohner,Entwicklung der Einwohnerzahl von 2012 bis 2023 in %
15002,Halle/Saale,Leipzig,2344,339.0,0.00128150363092705,-0.306748466257669,7.5,1.88,0.81,3.4864643150123054,63.16218358410723,-1.6423263048738312
02000,Hamburg,Hamburg,5799,4837.0,0.0240155394667139,-0.290762463343109,4.59,2.44,0.79,3.2443294260922517,66.22481886334128,6.7650287844121415
03353,Harburg,Hamburg,3331,895.0,0.00604047115675033,-0.271765663140765,5.95,5.0,2.19,45.054418137569776,74.07690251632364,10.06826080449641
12063,Havelland,Berlin,3589,475.0,-0.03,-0.393358876117497,17.63,3.68,3.36,37.11806002373497,68.01285208377307,10.716009759025136
06434,Hochtaunuskreis,Frankfurt,4313,1103.0,0.0081813931743806,-0.214387464387464,7.05,2.65,1.71,33.135224948875255,66.68074831537923,5.490622451753202
05114,Krefeld,Düsseldorf,2881,793.0,0.0378242074927955,-0.205410821643287,3.78,2.76,0.88,14.10676124221343,45.066725005469266,3.768477565690498
01053,Kreis Herzogtum Lauenburg,Hamburg,3111,646.0,0.00842787682333879,-0.311300639658849,8.88,6.75,3.34,32.132997975584324,69.27412725024776,9.334504137729184
05158,Kreis Mettmann,Düsseldorf,3199,1701.0,0.00345043914680043,-0.242653606411398,2.79,3.21,1.01,27.464443354585583,55.92908019428802,2.589668556777691
05158,Kreis Mettmann,Köln,3199,1701.0,0.00345043914680043,-0.242653606411398,2.79,3.21,1.01,27.464443354585583,67.95825526952954,2.589668556777691
01056,Kreis Pinneberg,Hamburg,3558,1439.0,0.0183171150543788,-0.163372093023256,5.37,2.6,1.95,41.80556475410439,69.27412725024776,8.344655418203239
01060,Kreis Segeberg,Hamburg,3303,993.0,0.0390059767222397,-0.275711159737418,5.92,3.83,2.79,31.29505344270445,69.27412725024776,7.7408125563002805
01062,Kreis Stormarn,Hamburg,3655,894.0,0.0195258019525801,-0.294396211523283,5.23,4.99,2.12,43.74388563898816,69.27412725024776,5.706042222136354
05166,Kreis Viersen,Düsseldorf,2794,883.0,0.0241935483870968,-0.260469011725293,3.51,4.2,1.05,11.651512308295944,55.92908019428802,0.6958923397687666
05170,Kreis Wesel,Düsseldorf,2687,1112.0,0.0402632597754549,-0.233103448275862,4.64,4.0,1.39,5.980558971680789,55.92908019428802,-0.17105616271281265
05315,Köln,Düsseldorf,4755,3244.0,0.0819112627986349,-0.271011235955056,2.59,2.4,0.74,5.9712040362655605,51.409247962713124,0.003416724181515285
05315,Köln,Köln,4755,3244.0,0.0819112627986349,-0.271011235955056,2.59,2.4,0.74,5.9712040362655605,51.409247962713124,0.003416724181515285
14713,Leipzig,Leipzig,3114,2546.0,0.0418200066912011,-0.314301104228387,7.18,1.44,0.64,4.1931577353920675,64.43832343493595,16.73745003244771
14729,Leipzig,Leipzig,2026,801.0,-0.0347784659361601,-0.299212598425197,7.84,3.06,3.16,2.032328197372152,70.2686720756905,0.5783022835031515
05316,Leverkusen,Düsseldorf,3217,415.0,0.0132283464566929,-0.298986486486487,3.37,2.84,0.91,28.123350674809622,48.072878483781416,4.954791591110896
05316,Leverkusen,Köln,3217,415.0,0.0132283464566929,-0.298986486486487,3.37,2.84,0.91,28.123350674809622,48.072878483781416,4.954791591110896
08118,Ludwigsburg,Stuttgart,3927,2464.0,0.00589139344262302,-0.254913819171455,6.42,2.97,1.56,23.5837969129515,77.66976196395615,3.494933700759373
03355,Lüneburg,Hamburg,3184,626.0,0.0294212738441642,-0.268691588785047,10.23,6.22,2.81,17.160771485040552,69.27412725024776,2.142450466864032
06435,Main-Kinzig-Kreis,Frankfurt,3008,1271.0,0.0131357359380262,-0.315193965517241,5.73,3.11,1.93,21.253653415056327,55.52969801982479,3.9493071782583433
06436,Main-Taunus-Kreis,Frankfurt,4143,983.0,-0.0079022988505747,-0.289739884393064,4.25,1.8,1.4,36.528153430046714,68.63756488715902,5.519364211699451
07315,Mainz,Frankfurt,4262,728.0,0.0956298200514139,-0.332722273143905,3.04,2.32,0.69,12.880873178663663,61.278931187689665,10.413995146876044
09182,Miesbach,München,7882,432.0,0.0681664182138502,-0.178707224334601,13.89,2.63,2.01,18.556701030927837,75.39060256034179,2.08001350795175
12064,Märkisch-Oderland,Berlin,3021,496.0,-0.0508953817153629,-0.368956743002545,15.11,3.61,2.49,36.88715757094411,82.54148206711716,5.809816771432397
05116,Mönchengladbach,Düsseldorf,2456,860.0,0.108303249097473,-0.320695102685624,3.02,2.45,0.92,11.672044961894207,55.92908019428802,4.931650770129403
05117,Mülheim an der Ruhr,Düsseldorf,2718,430.0,-0.00730460189919646,-0.276094276094276,2.6,3.32,1.07,11.446198171113616,45.59752965282387,3.7400842464027306
09162,München,München,8702,6308.0,0.0389207258834765,-0.179607231109377,3.28,2.16,0.57,2.7997529875158556,64.15612515542466,7.232616969721417
09184,München,München,6974,1424.0,-0.01260087781396,-0.156398104265403,3.11,2.07,0.99,48.23802762359623,102.9346128096407,8.297006238027404
14730,Nordsachsen,Leipzig,1687,459.0,-0.00295508274231682,-0.27373417721519,19.63,4.8,2.84,1.7805368077862391,61.55416766754744,1.0819165378670892
05374,Oberbergischer Kreis,Köln,2262,712.0,0.0462534690101757,-0.291542288557214,9.36,7.8,2.43,7.13762002773778,67.95825526952954,0.969660784573878
05119,Oberhausen,Düsseldorf,2295,429.0,0.0556577736890525,-0.225631768953069,1.8,2.11,0.86,7.46706831410191,48.31856143326117,1.669007880764739
12065,Oberhavel,Berlin,3576,662.0,-0.0091438071487947,-0.31540847983454,10.45,2.61,3.17,42.701169956238274,67.6246830092984,7.4831076067708
12067,Oder-Spree,Berlin,2936,423.0,0.0345313601127555,-0.409217877094972,11.63,3.42,3.4,20.905923344947734,69.96064713598601,1.9497647517325856
06438,Offenbach,Frankfurt,3668,1275.0,0.0314960629921259,-0.288504464285714,4.58,1.65,0.87,28.970171305354793,62.28443959095312,6.040771415401536
06413,Offenbach am Main,Frankfurt,3983,424.0,0.0498154981549817,-0.236036036036036,2.54,1.25,0.55,40.09579085662969,61.278931187689665,12.741032109111128
12054,Potsdam,Berlin,5324,499.0,0.0772966410360179,-0.261834319526627,6.78,2.31,1.04,29.424877396344186,78.55963317461081,15.574202287778437
12069,Potsdam-Mittelmark,Berlin,3880,679.0,0.0267266472611802,-0.337560975609756,6.5,4.42,4.3,27.413174856734322,61.289038209465346,7.715717165391323
08119,Rems-Murr-Kreis,Stuttgart,3658,1771.0,0.0110558319513543,-0.266666666666667,20.86,2.76,1.65,21.91178135665414,92.50757983982312,7.650179660345335
05120,Remscheid,Düsseldorf,2297,353.0,0.0595018450184501,-0.212053571428571,3.65,2.1,1.06,6.041609884618879,55.92908019428802,4.306276977101464
05120,Remscheid,Köln,2297,353.0,0.0595018450184501,-0.212053571428571,3.65,2.1,1.06,6.041609884618879,67.95825526952954,4.306276977101464
08415,Reutlingen,Stuttgart,3488,1034.0,0.0104287369640788,-0.267186392629341,26.48,3.6,1.69,5.9213925207646145,81.2263353516896,6.805465049819626
05362,Rhein-Erft-Kreis,Düsseldorf,3225,1635.0,0.0106549670949545,-0.268783542039356,3.44,3.71,1.23,37.36939906934839,75.88531130649557,4.75382152720365
05362,Rhein-Erft-Kreis,Köln,3225,1635.0,0.0106549670949545,-0.268783542039356,3.44,3.71,1.23,37.36939906934839,75.88531130649557,4.75382152720365
05162,Rhein-Kreis Neuss,Düsseldorf,3431,1645.0,0.044762484774665,-0.220009483167378,3.17,2.69,1.28,30.679647278496724,55.92908019428802,4.137514941089426
05162,Rhein-Kreis Neuss,Köln,3431,1645.0,0.044762484774665,-0.220009483167378,3.17,2.69,1.28,30.679647278496724,67.95825526952954,4.137514941089426
05382,Rhein-Sieg-Kreis,Köln,3186,1790.0,0.0101458465440709,-0.315225707727621,5.03,4.18,1.75,18.231927964318775,69.93843124986692,4.253446505956027
06439,Rheingau-Taunus-Kreis,Frankfurt,3156,689.0,0.00927406459865687,-0.304742684157417,8.67,6.68,3.02,12.383142596649748,61.278931187689665,2.8406232899049755
05378,Rheinisch-Bergischer Kreis,Düsseldorf,3349,904.0,0.0665605095541402,-0.334315169366716,4.57,5.52,1.67,31.3515240817341,55.92908019428802,2.018007388568943
05378,Rheinisch-Bergischer Kreis,Köln,3349,904.0,0.0665605095541402,-0.334315169366716,4.57,5.52,1.67,31.3515240817341,67.95825526952954,2.018007388568943
